PROVIDER_ID,std_HCP_COVID_19,std_IMM_3,std_OP_10,std_OP_13,std_OP_18B,std_OP_22,std_OP_23,std_OP_29,std_OP_8,std_PC_01,std_SAFE_USE_OF_OPIOIDS,std_SEP_1,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,total_cnt,measure_wt,score_before_std,Mean,StdDev,grp_score
460030,-0.455607835,0.8265480434,-0.576892494,,1.0139264574,0.5977453531,,0.1916846219,,-0.885758964,-0.355378971,0.6280999932,1,1,1,0,1,1,0,1,0,1,1,1,9,0.1111111111,0.1093740228,0.028411,0.480473,0.1685076973
460039,-0.495270112,0.8810901551,0.2286873071,,0.9391162123,0.5977453531,,0.6210143556,,0.5516815849,0.7467350655,2.3519348375,1,1,1,0,1,1,0,1,0,1,1,1,9,0.1111111111,0.7136371955,0.028411,0.480473,1.4261492041
460041,-0.52501682,0.6629217084,0.9706687033,,0.6772803544,-2.007116468,0.794164914,-0.022980245,,-1.091107614,0.1956780474,1.044198059,1,1,1,0,1,1,1,1,0,1,1,1,10,0.1,0.0698690639,0.028411,0.480473,0.086286774
460042,-0.52501682,0.3902111501,0.9918681717,,0.6585777931,0.5977453531,1.5262384964,,,0.3463329351,0.0119923747,0.6280999932,1,1,1,0,1,1,1,0,0,1,1,1,9,0.1111111111,0.5140054941,0.028411,0.480473,1.0106595218
460043,-0.490312327,0.6629217084,-0.386097278,,1.1074392638,0.5977453531,,,,0.1409842852,2.5835917926,,1,1,1,0,1,1,0,0,0,1,1,0,7,0.1428571429,0.6023246854,0.028411,0.480473,1.1944765832
460044,-0.500227897,0.7174638201,0.2498867756,,-0.052119535,0.5977453531,,0.4779044444,-2.06621325,-0.064364365,0.1956780474,0.687542574,1,1,1,0,1,1,0,1,1,1,1,1,10,0.1,0.0243295968,0.028411,0.480473,-0.008493657
460047,-0.52501682,-0.318836301,-0.280099936,-0.091583909,0.8269008446,0.5977453531,,-1.310969446,-1.732698208,0.1409842852,-0.722750316,1.1630832207,1,1,1,1,1,1,0,1,1,1,1,1,11,0.0909090909,-0.204840112,0.028411,0.480473,-0.485460236
460051,-0.520059035,0.7720059318,0.822272424,-1.022738029,0.0787983936,0.5977453531,0.166673272,0.1916846219,-1.732698208,-0.680410314,0.3793637201,0.3903296698,1,1,1,1,1,1,1,1,1,1,1,1,12,0.0833333333,-0.04641935,0.028411,0.480473,-0.155742102
460052,-0.356452141,0.2265848151,0.5042803971,,0.9765213348,1.03188899,1.1602017052,0.5494594,,-1.091107614,0.7467350655,1.5791812866,1,1,1,0,1,1,1,1,0,1,1,1,10,0.1,0.5327293239,0.028411,0.480473,1.0496290744
460054,-0.52501682,-0.482462636,,,1.4440853668,1.03188899,,0.1201296663,,-1.296456264,-0.171693298,0.2120019273,1,1,0,0,1,1,0,1,0,1,1,1,8,0.125,0.0415596165,0.028411,0.480473,0.0273668567
