PROVIDER_ID,std_EDAC_30_AMI,std_EDAC_30_HF,std_EDAC_30_PN,std_OP_32,std_READM_30_CABG,std_READM_30_COPD,std_READM_30_HIP_KNEE,std_READM_30_HOSP_WIDE,std_OP_35_ADM,std_OP_35_ED,std_OP_36,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,total_cnt,measure_wt,score_before_std,Mean,StdDev,grp_score
21020F,0.4772807886,0.3876309995,1.1892720261,,,0.3628172381,-1.161023079,-1.592084864,,,,1,1,1,0,0,1,1,1,0,0,0,6,0.1666666667,-0.056017815,0.013108,0.533730,-0.129514186
220001,,-0.973070807,-1.501681136,0.1880407518,,-1.722753786,,0.3257760046,-0.006743138,-0.421059243,-0.599837257,0,1,1,1,0,1,0,1,1,1,1,8,0.125,-0.588916076,0.013108,0.533730,-1.127955767
220002,-0.455484657,-1.534479244,-1.773849319,-0.015824407,0.3676363213,0.5614430499,2.2226644672,-0.264335032,-0.079753377,1.0941189957,0.4257342795,1,1,1,1,1,1,1,1,1,1,1,11,0.0909090909,0.0498064616,0.013108,0.533730,0.0687588543
220008,,-0.378358479,-0.52275364,1.6150968664,,-2.616569939,-2.852866853,-1.592084864,0.7233592449,1.5603276844,0.0838771007,0,1,1,1,0,1,1,1,1,1,1,9,0.1111111111,-0.442219209,0.013108,0.533730,-0.85310358
220010,-0.248203447,0.1497460683,0.3991063342,1.2073665479,,-0.828937633,0.7000050712,-0.854446069,,,0.7675914583,1,1,1,1,0,1,1,1,0,0,1,8,0.125,0.1615285415,0.013108,0.533730,0.2780820558
220011,,1.0822549984,-1.497291326,-1.035150204,,0.2635043322,0.3616363166,0.0307204863,0.5043285299,-0.537611415,0.0838771007,0,1,1,1,0,1,1,1,1,1,1,9,0.1111111111,-0.082636798,0.013108,0.533730,-0.179387682
220012,-0.184867522,-0.430693164,-0.584210971,2.3286249237,0.4875676993,-1.226189256,0.1924519392,-2.32972366,1.1614206748,-1.236924448,0.4257342795,1,1,1,1,1,1,1,1,1,1,1,11,0.0909090909,-0.126982682,0.013108,0.533730,-0.262474413
220015,,-0.121442753,0.5000719504,0.391905911,,-0.530998915,0.1924519392,0.0307204863,0.8693797215,0.2782537905,0.4257342795,0,1,1,1,0,1,1,1,1,1,1,9,0.1111111111,0.2262307122,0.013108,0.533730,0.3993084557
220016,,0.4732695747,-0.026705178,0.7996362295,,-1.921379598,,-0.854446069,-0.225773853,-0.30450707,-0.599837257,0,1,1,1,0,1,0,1,1,1,1,8,0.125,-0.332467903,0.013108,0.533730,-0.647472833
220017,,-0.797035958,0.7327318485,-0.627419885,,-0.630311821,,-0.264335032,,,-1.283551615,0,1,1,1,0,1,0,1,0,0,1,6,0.1666666667,-0.47832041,0.013108,0.533730,-0.920743022
