PROVIDER_ID,std_H_COMP_1_STAR_RATING,std_H_COMP_2_STAR_RATING,std_H_COMP_3_STAR_RATING,std_H_COMP_5_STAR_RATING,std_H_COMP_6_STAR_RATING,std_H_COMP_7_STAR_RATING,std_H_GLOB_STAR_RATING,std_H_INDI_STAR_RATING,C1,C2,C3,C4,C5,C6,C7,C8,total_cnt,measure_wt,score_before_std,Mean,StdDev,grp_score
010065,0.6671169089,-0.436147184,0.70891858,0.7686551275,0.6784137042,-1.00956652,-0.226011679,0.5293884968,1,1,1,1,1,1,1,1,8,0.125,0.2100959293,7.533033E-17,0.866021,0.2425989998
010069,0.6671169089,0.5707605124,0.70891858,0.7686551275,0.6784137042,-0.038194859,-0.226011679,1.0384405328,1,1,1,1,1,1,1,1,8,0.125,0.5210123535,7.533033E-17,0.866021,0.6016160154
010073,,,,,,,,,0,0,0,0,0,0,0,0,0,,,7.533033E-17,0.866021,
010078,-1.154063558,-1.44305488,-1.17226019,-1.277016409,-0.312251048,-1.00956652,-1.17139474,-0.488715575,1,1,1,1,1,1,1,1,8,0.125,-1.003540365,7.533033E-17,0.866021,-1.158793936
010079,1.5777071423,0.5707605124,0.70891858,0.7686551275,0.6784137042,0.9331768019,0.7193713829,0.5293884968,1,1,1,1,1,1,1,1,8,0.125,0.8107989685,7.533033E-17,0.866021,0.9362343166
010083,0.6671169089,0.5707605124,1.6495079648,0.7686551275,-0.312251048,0.9331768019,0.7193713829,0.5293884968,1,1,1,1,1,1,1,1,8,0.125,0.6907157684,7.533033E-17,0.866021,0.7975735423
010085,-0.243473324,0.5707605124,-1.17226019,-0.254180641,0.6784137042,-1.00956652,-1.17139474,0.5293884968,1,1,1,1,1,1,1,1,8,0.125,-0.259039088,7.533033E-17,0.866021,-0.299113951
010086,0.6671169089,0.5707605124,1.6495079648,0.7686551275,0.6784137042,0.9331768019,0.7193713829,2.0565446049,1,1,1,1,1,1,1,1,8,0.125,1.0054433759,7.533033E-17,0.866021,1.1609913537
010087,-0.243473324,0.5707605124,-0.231670805,-0.254180641,-0.312251048,-0.038194859,0.2466798521,-0.997767611,1,1,1,1,1,1,1,1,8,0.125,-0.157512241,7.533033E-17,0.866021,-0.181880306
010089,-1.154063558,-0.436147184,-1.17226019,-1.277016409,-0.312251048,-1.00956652,-1.17139474,-0.997767611,1,1,1,1,1,1,1,1,8,0.125,-0.941308408,7.533033E-17,0.866021,-1.08693433
010090,-1.154063558,-1.44305488,0.70891858,-0.254180641,-0.312251048,-0.038194859,-0.226011679,-0.488715575,1,1,1,1,1,1,1,1,8,0.125,-0.400944208,7.533033E-17,0.866021,-0.462972624
010091,,,,,,,,,0,0,0,0,0,0,0,0,0,,,7.533033E-17,0.866021,
010092,-1.154063558,-0.436147184,-1.17226019,-0.254180641,-0.312251048,-1.00956652,-0.69870321,-0.997767611,1,1,1,1,1,1,1,1,8,0.125,-0.754367495,7.533033E-17,0.866021,-0.871072564
010095,,,,,,,,,0,0,0,0,0,0,0,0,0,,,7.533033E-17,0.866021,
