PROVIDER_ID,std_MORT_30_AMI,std_MORT_30_CABG,std_MORT_30_COPD,std_MORT_30_HF,std_MORT_30_PN,std_MORT_30_STK,std_PSI_4_SURG_COMP,C1,C2,C3,C4,C5,C6,C7,total_cnt,measure_wt,score_before_std,Mean,StdDev,grp_score
281358,,,,,0.2028089442,,,0,0,0,0,1,0,0,1,1,0.2028089442,-0.073484,0.730255,0.3783505531
281359,,,,,,,,0,0,0,0,0,0,0,0,,,-0.073484,0.730255,
281360,,,,-0.043023679,-0.211738059,,,0,0,0,1,1,0,0,2,0.5,-0.127380869,-0.073484,0.730255,-0.073806209
281361,,,,,-0.177192475,,,0,0,0,0,1,0,0,1,1,-0.177192475,-0.073484,0.730255,-0.142017443
281362,,,,-1.384617685,-0.660830646,,,0,0,0,1,1,0,0,2,0.5,-1.022724166,-0.073484,0.730255,-1.299875304
281363,,,0.1503091721,-1.754712584,-2.180836324,,,0,0,1,1,1,0,0,3,0.3333333333,-1.261746579,-0.073484,0.730255,-1.627188856
281364,,,-1.903290517,-2.124807482,-1.317196734,,,0,0,1,1,1,0,0,3,0.3333333333,-1.781764911,-0.073484,0.730255,-2.33929382
281365,,,,-0.320594853,-0.384465977,,,0,0,0,1,1,0,0,2,0.5,-0.352530415,-0.073484,0.730255,-0.382122473
290001,0.309109783,1.2415543763,-0.180916584,-0.089285541,-0.280829226,-1.417914073,-2.373239782,1,1,1,1,1,1,1,7,0.1428571429,-0.398788721,-0.073484,0.730255,-0.445467873
290003,-0.395984542,0.0379100573,-0.180916584,1.437355914,-0.177192475,-0.510189448,2.1455308767,1,1,1,1,1,1,1,7,0.1428571429,0.3366448285,-0.073484,0.730255,0.561623318
290005,-0.317640728,,0.3490446258,1.9462363991,0.6519015311,,,1,0,1,1,1,0,0,4,0.25,0.6573854571,-0.073484,0.730255,1.0008405143
290007,-0.082609286,-0.082454375,0.8790058358,1.113522878,0.5137191967,0.3975351781,-0.114711905,1,1,1,1,1,1,1,7,0.1428571429,0.3748582176,-0.073484,0.730255,0.6139521349
290008,-1.414454121,,0.2827994746,-1.199570236,-0.073555725,0.4509307443,,1,0,1,1,1,1,0,5,0.2,-0.390769973,-0.073484,0.730255,-0.434487125
290009,0.7791726659,-0.082454375,-0.048426282,-0.043023679,0.8591750327,-0.350002749,-1.370021249,1,1,1,1,1,1,1,7,0.1428571429,-0.036511519,-0.073484,0.730255,0.0506288564
290012,,,,,,,,0,0,0,0,0,0,0,0,,,-0.073484,0.730255,
290019,-2.511267515,0.2786389211,0.9452509871,-0.690689751,0.306445695,0.0771617807,-1.010320245,1,1,1,1,1,1,1,7,0.1428571429,-0.372111447,-0.073484,0.730255,-0.408936431
290021,0.309109783,-1.286098694,0.4152897771,0.5583805306,0.2028089442,-1.524705206,1.3446709534,1,1,1,1,1,1,1,7,0.1428571429,0.0027794413,-0.073484,0.730255,0.1044332827
29002F,0.7791726659,,1.0114961383,1.6686652254,1.2391764523,,,1,0,1,1,1,0,0,4,0.25,1.1746276205,-0.073484,0.730255,1.7091438367
290032,-1.414454121,,-0.379652038,-0.135547404,-1.040832065,-0.937353977,0.770178289,1,0,1,1,1,1,1,6,0.1666666667,-0.522943553,-0.073484,0.730255,-0.615483556
290039,2.1893613149,0.6397322168,0.0178188695,1.9924982614,0.8937206163,-0.083024918,0.6900065515,1,1,1,1,1,1,1,7,0.1428571429,0.9057304161,-0.073484,0.730255,1.3409202139
290041,-0.317640728,-1.887920853,0.6802703821,0.6046423929,0.7900838655,0.3975351781,1.676504776,1,1,1,1,1,1,1,7,0.1428571429,0.2776392877,-0.073484,0.730255,0.4808220541
290045,-0.474328355,-1.887920853,-1.042103551,-0.089285541,0.5137191967,0.3975351781,0.6514212233,1,1,1,1,1,1,1,7,0.1428571429,-0.275851815,-0.073484,0.730255,-0.277119998
290046,-1.022735052,1.1211899444,0.9452509871,-0.736951613,-0.695376229,-3.927505686,0.6029752001,1,1,1,1,1,1,1,7,0.1428571429,-0.53045035,-0.073484,0.730255,-0.625763247
290047,0.4657974106,,0.0840640208,1.8074508123,1.2391764523,0.2373484794,2.0160556643,1,0,1,1,1,1,1,6,0.1666666667,0.9749821399,-0.073484,0.730255,1.4357524406
290049,,,-0.578387492,-0.043023679,0.7900838655,0.7713041416,-0.173447349,0,0,1,1,1,1,1,5,0.2,0.1533058975,-0.073484,0.730255,0.3105618558
29004F,0.7008288521,,1.5414573484,2.0387601237,1.6191778719,,,1,0,1,1,1,0,0,4,0.25,1.475056049,-0.073484,0.730255,2.1205458241
290053,-0.552672169,-2.249014149,0.0178188695,0.5583805306,-0.971740898,1.0916775389,-0.436256306,1,1,1,1,1,1,1,7,0.1428571429,-0.363115226,-0.073484,0.730255,-0.396617148
290054,-0.317640728,,-2.035780819,-0.921999063,0.0300810262,-1.097540676,-0.567875148,1,0,1,1,1,1,1,6,0.1666666667,-0.818459235,-0.073484,0.730255,-1.020158105
290057,-0.787703611,,0.5477800796,0.0495000455,0.2028089442,0.5577218767,0.2222666284,1,0,1,1,1,1,1,6,0.1666666667,0.1320623273,-0.073484,0.730255,0.2814712432
290058,,,,,0.7900838655,,,0,0,0,0,1,0,0,1,1,0.7900838655,-0.073484,0.730255,1.1825556377
290061,,,,,0.2373545278,,,0,0,0,0,1,0,0,1,1,0.2373545278,-0.073484,0.730255,0.4256567345
291300,,,,,,,,0,0,0,0,0,0,0,0,,,-0.073484,0.730255,
291301,,,,,,,,0,0,0,0,0,0,0,0,,,-0.073484,0.730255,
291302,,,0.8127606846,,,,,0,0,1,0,0,0,0,1,1,0.8127606846,-0.073484,0.730255,1.2136089188
291303,,,,,,,,0,0,0,0,0,0,0,0,,,-0.073484,0.730255,
291304,,,,,,,,0,0,0,0,0,0,0,0,,,-0.073484,0.730255,
291306,,,0.4815349283,0.2345474946,1.1009941179,0.0771617807,,0,0,1,1,1,1,0,4,0.25,0.4735595804,-0.073484,0.730255,0.7491122362
291307,,,-1.704555063,-0.089285541,-2.008108406,,,0,0,1,1,1,0,0,3,0.3333333333,-1.267316337,-0.073484,0.730255,-1.634815995
291308,,,-0.644632643,0.5583805306,-1.593561403,,,0,0,1,1,1,0,0,3,0.3333333333,-0.559937838,-0.073484,0.730255,-0.666142952
291309,,,,,,,,0,0,0,0,0,0,0,0,,,-0.073484,0.730255,
291311,,,0.4152897771,0.7434279797,0.0300810262,,,0,0,1,1,1,0,0,3,0.3333333333,0.396266261,-0.073484,0.730255,0.6432679745
291312,,,,,,,,0,0,0,0,0,0,0,0,,,-0.073484,0.730255,
291313,,,-1.505819609,-0.274332991,-1.973562823,,,0,0,1,1,1,0,0,3,0.3333333333,-1.251238474,-0.073484,0.730255,-1.612799222
291314,,,,,,,,0,0,0,0,0,0,0,0,,,-0.073484,0.730255,
300001,0.0740783415,-0.925005398,-1.042103551,-1.245832099,0.5137191967,-1.150936242,-0.046973217,1,1,1,1,1,1,1,7,0.1428571429,-0.546150424,-0.073484,0.730255,-0.647262683
300003,1.0142041074,0.8804610806,0.4152897771,0.6971661174,0.0646266098,-0.723771713,-0.260049974,1,1,1,1,1,1,1,7,0.1428571429,0.2982751437,-0.073484,0.730255,0.5090804722
300005,0.7791726659,,1.7401928021,-0.228071128,-0.142646892,0.2373484794,,1,0,1,1,1,1,0,5,0.2,0.4771991855,-0.073484,0.730255,0.7540962545
300011,-0.709359797,,-0.51214234,-0.921999063,-1.006286482,0.1839529132,,1,0,1,1,1,1,0,5,0.2,-0.593166954,-0.073484,0.730255,-0.711646382
300012,-1.571141749,,-0.777122945,-1.384617685,-0.211738059,-1.684891905,0.1198011457,1,0,1,1,1,1,1,6,0.1666666667,-0.9182852,-0.073484,0.730255,-1.156858219
300014,,,-0.180916584,-1.060784649,-0.660830646,-0.18981605,,0,0,1,1,1,1,0,4,0.25,-0.523086982,-0.073484,0.730255,-0.615679967
300017,1.4842669904,,-0.247161735,0.5121186683,1.7573602063,-0.670376146,,1,0,1,1,1,1,0,5,0.2,0.5672415967,-0.073484,0.730255,0.8773989229
300018,0.7008288521,,-0.180916584,1.113522878,0.2373545278,1.0382819727,0.2968649296,1,0,1,1,1,1,1,6,0.1666666667,0.5343227627,-0.073484,0.730255,0.8323203869
300019,1.1708917351,,0.3490446258,0.3733330814,0.7209926983,-1.898474169,,1,0,1,1,1,1,0,5,0.2,0.1431575942,-0.073484,0.730255,0.2966649281
300020,-0.631015983,,-0.313406887,0.8359517043,0.4791736131,-0.723771713,0.5408099491,1,0,1,1,1,1,1,6,0.1666666667,0.031290114,-0.073484,0.730255,0.1434753517
300023,-0.004265472,,0.7465155333,0.2345474946,1.1355397015,1.5188420687,,1,0,1,1,1,1,0,5,0.2,0.7262358652,-0.073484,0.730255,1.0951231855
300029,0.309109783,0.6397322168,-0.51214234,-0.043023679,0.2719001114,-0.883958411,0.4739287135,1,1,1,1,1,1,1,7,0.1428571429,0.0365066277,-0.073484,0.730255,0.1506187639
300034,-0.004265472,0.8804610806,0.7465155333,1.8999745368,1.4119043703,1.4120509363,-0.164872831,1,1,1,1,1,1,1,7,0.1428571429,0.8831097362,-0.073484,0.730255,1.309943809
301300,,,,,,,,0,0,0,0,0,0,0,0,,,-0.073484,0.730255,
301301,,,,-1.523403272,-1.040832065,,,0,0,0,1,1,0,0,2,0.5,-1.282117669,-0.073484,0.730255,-1.655084708
301302,,,0.0840640208,,0.0300810262,-0.350002749,,0,0,1,0,1,1,0,3,0.3333333333,-0.078619234,-0.073484,0.730255,-0.007032789
301303,,,,,-2.111745157,,,0,0,0,0,1,0,0,1,1,-2.111745157,-0.073484,0.730255,-2.791163604
301304,,,,-0.644427889,-0.522648311,,,0,0,0,1,1,0,0,2,0.5,-0.5835381,-0.073484,0.730255,-0.698460781
